Course Code,Course Name,Credit Value,Details,Prerequisites,Corequisites,Exclusion,Recommended Preparation
ANA126Y1,Elementary Human Anatomy,,"This is an introductory course on the anatomy of the human body. In the first term, emphasis is placed on the functional overview of anatomy of the human body using a systemic approach. A brief overview of histology is the starting component, followed by more detailed review of the bony and muscular framework of the torso, the respiratory, cardiovascular, gastrointestinal, renal, reproductive and neuroanatomical systems. In the second term, the course covers detailed content on the upper and lower limb musculoskeletal system, covering all bones, joints, muscles and neurovascular supply.",,,"['BIOB33H3', 'BIO210Y5']",
KPE100H1,Physical Cultural Studies,,"This course is an invitation and introduction to the social study of kinesiology, physical education, sport, health, the body and bodies, etc. The goal is to explore and discuss society and culture, particularly as it is stratified along lines of ability, race, gender, class, and sexuality, and to study social issues in kinesiology like violence and performance enhancing drugs. Overall, students are encouraged to use course concepts in developing their own assessments of the social world of kinesiology and physical education.",,,,
KPE120H1,"Foundations of Sport, Exercise, and Health Psychology",,"This is an introductory level course that will aid students’ familiarisation with psychological concepts and applications in sport, exercise, and health settings. This course will introduce students to some of the core topics, underlying theories and basic psychological skills within the area of sport, exercise, and health psychology. Throughout the course, emphasis will be placed on practical familiarisation with the basic psychological concepts common to both sporting and exercise contexts. ",,,,
KPE160H1,Fundamentals of Human Movement,,"This is an inter-disciplinary course introducing biomechanics and neuro-motor behaviour. It describes how humans control the position and movement of their bodies in the gravitational field of earth given the laws of motion and an understanding of how muscles generate force. This includes systems for description, measurement and development of healthy posture, movements, flexibility, and stability; and uses squatting (stance) and walking (gait) as examples of basic movements with which to explore these concepts. The central role of the nervous system in sensation, perception, and the control of motor behaviour, along with introductory principles of motor learning and motor development are also considered. This course will be integrated with KPE182H1.",,['KPE182H1'],,
KPE161H1,Fitness: Principles & Practice,,"An introduction to the components of physical fitness and fitness itself from physiological, behavioural and physical culture points of view. Strength, endurance, flexibility and speed will be examined from their biological basis, their importance to human movement and how each of these components can be altered with appropriate training. This course will be integrated with KPE182H1.",,,,
KPE162H1,Personal Health,,"Among the determinants of health are many lifestyle factors about which we may exercise personal choice – physical activity, nutrition, hygiene, drug use, vehicular safety, sexual practices, use of health care services, and so on. This course focuses on patterns and prevention of diseases, and their relationships with these personal choices. The inter-relationships of various lifestyle choices and the social context in which these choices are made are strong themes throughout. Topics covered include: physical activity and sedentarism, reproduction and contraception, healthy sexuality and sexual abuse, sleep and stress management, health care / self-care practices, immunity and infectious disease, including those transmitted sexually, nutrition, substance use and abuse, cardiovascular diseases, cancer, mental health disorders, trauma, and environmental health issues. ",,,,
KPE182H1,Introduction to Movement Observation and Evaluation,,"Through the investigation of joint range of motion, fitness, stability, and various types of feedback, students will develop the skills needed to observe and critically evaluate movement patterns that commonly occur in sport, clinical, workplace and recreational settings, and to design and implement relevant exercise sessions. Students will also be encouraged to develop self-awareness of their own fitness and movement patterns.",,['KPE160H1'],,
KPE190H1,Inquiry in Kinesiology and Physical Education,,"Inquiry is the process of trying to come to an understanding about a problem, an issue or a phenomenon. In this course students develop the foundational skills necessary to critically consider and challenge the ways in which questions and problems are formulated, the purpose and use of research, and the manner in which conclusions are reached, and used, across the range of fields of inquiry in Kinesiology. Particular attention is given to experiential learning processes to generate robust understandings of the philosophical foundation of research as a way to understand how modes of inquiry are shaped and undertaken.",,,,
KPE200H1,Physical Culture and the Human Condition,,"This course places the study of physical culture alongside social and cultural theories regarding the ways in which human life is organized, produced, reproduced and experienced by people. Attention is given to how studies of physical culture provide answers to universal social scientific questions such as what it means to be human and live in a society structured by power relations that privilege some and form the bases of injustice for others. A range of sociological, philosophical, humanities, and cultural theories of how people's participation in physical culture is affected by historical and contemporary relations of power such as structures and processes or normalization, colonialism, racism, patriarchy, neoliberalism, speciesism, environmental injustice and scientization.",['KPE100H1'],,,
KPE220H1,Psychosocial Development,,"Psychosocial domains of human development and optimal functioning over the lifespan are considered in this course. Developmental psychology, positive psychology, health psychology, behavioural medicine, and performance psychology theory and research provide students with foundational knowledge and lifelong skills for personal growth and development, and for diverse roles as kinesiology graduates. Theories of development and behaviour change provide frameworks for exploring topics such as health and wellbeing, resilience, love, relationships, enjoyment, meaning and fulfillment, flourishing, happiness, personal growth, and positive aspects of human functioning. Students will be encouraged to think how psychosocial development, personal experiences, culture, and physical activity influence health and well-being across the lifespan.",['KPE120H1'],,"['PHE101Y1', 'PSY210H1', 'PSY210H1', 'PSYB20H3']",
KPE240H1,"Indigenous & Black Histories: Health, Healing and Physical Activity",,"This course will explore Indigenous and Black histories and experiences in Canada before and after colonization, highlighting remarkable triumphs and legacies amidst enduring, oppressive practices. The past and current impact of these histories on people, relationships, health sciences practices and the environment as related to health and physical activity will be examined. Drawing on diverse knowledge practices, this course will advance a basis for understanding how the intersections of histories, health and physical activity might support holistic healing, improved relationships and opportunities for a healthier (environmentally, physically, mentally, spiritually) society. Students will be encouraged to reflect on strategies to achieve these goals in health and physical activity settings. Course topics as related to health and physical activity may include: Indigenous and Black leaders and innovation; self-determination; intersectionality and impact of oppressive, racist practices on diverse identities; scientific racism; impact of residential schools on Indigenous Peoples, history of science and technology.","['KPE120H1', 'KPE162H1', 'KPE200H1']",,,
KPE260H1,Human Physiology I,,"This course is an introduction to essential aspects of human physiology. Emphasis will be placed on the physiological systems most relevant for the kinesiologist/physical educator and the most likely to be discussed in detail in upper level courses. This course will cover the following units: homeostasis, cell physiology, the nervous system, skeletal muscle, the heart, blood the circulatory system, the endocrine system, and the respiratory system.",['ANA126Y1'],,"['PSL200Y1', 'PSL201Y1', 'PSL300H1', 'PSL301H1', 'PSL302Y1']",
KPE261H1,Theory of Motor Skill Acquisition - Motor Learning,,"This course is designed to acquaint the student with the principles associated with the acquisition of motor skills. These principles and theories will provide the student with selected concepts of perceptual-motor behaviour and a framework for their application in physical education, sports, and rehabilitation. The main objective of the course is to become aware of and understand motor skill acquisition principles and procedures available to optimize learning in physical activity programs.",['KPE160H1'],,,
KPE263H1,Introductory Biomechanics,,"Students will be introduced to basic biomechanical concepts used in human movement analyses. Fundamental laws and principles of motion will be covered in the first half of the course; biomechanics of the musculoskeletal system will be covered in the second half. Examples will be provided throughout to demonstrate how knowledge of anatomical and mechanical factors that affect movement is applicable to the restoration, enhancement, and maintenance of health, fitness, and performance. Related professional and research opportunities will also be highlighted.","['ANA126Y1', 'KPE160H1']",,,
KPE264H1,Exercise Physiology,,"Exercise provides a critical stimulus that results in both structural and functional adaptations. This course is designed to provide students with a broad understanding of the human body’s physiological response to exercise, including both acute adjustments and chronic adaptations that occur in response to physical training. Special attention will be given to the skeletal muscle metabolic and cardiorespiratory systems, and the integrative manner in which these systems adapt to maintain cellular homeostasis during exercise. This course will apply this knowledge in the context of both sport performance and human health.","['ANA126Y1', 'KPE260H1']",,"['HMB472H1', 'UNI370H1']",
KPE282H1,Physical Activity and Exercise Applications,,"In the second year, students will be provided with an opportunity to “experience” the application of kinesiology and physical education related principles. Building on the knowledge and experiences gained in Year 1, students will further develop the skills to design and implement short- and long-term training strategies for a range of sport and exercise-related applications (e.g. rehabilitation, prevention, performance). Case studies will be used to develop students’ ability to think critically and problem-solve. Emphasis will be on the development of such leadership skills as communication, provision of feedback, and the ability to coordinate small and large groups.",['KPE182H1'],,,
KPE290H1,Research Design and Evaluation: Qualitative Approaches,,"This course provides students with a conceptual understanding of the research process, from topic selection and purpose statements, literature reviews, ethical considerations, designs, analysis, and interpretation. As a complement to KPE291H1, the course emphasis is on the theoretical frameworks of qualitative research methodology, research principles across paradigms of inquiry, and qualitative research methods and techniques that apply to the study of exercise science and kinesiology. This course also focuses on mixed methods research, participatory action research, and knowledge translation.",,,"['ECO220Y1', 'ECO227Y1', 'GGR270H1', 'GGR271H1', 'PSY201H1', 'PSY202H1', 'SOC200H1', 'SOC202H1', 'SOC300H1', 'STA220H1', 'SOC204H1', 'PSYB04H3', 'PSYB07H3']",
KPE291H1,Research Design and Evaluation: Quantitative Approaches,,"This course complements KPE290H1 and provides students with an introduction to quantitative research methodology and statistical analysis as it applies to the study of human behaviour and physical activity. Emphasis is on conceptual understanding and practical applications related to Exercise and Health Sciences. Key topics include basic research designs, types of variables, non-parametric and parametric descriptive and inferential statistics.",,,"['ECO220Y1', 'ECO227Y1', 'GGR270H1', 'GGR271H1', 'PSY201H1', 'PSY202H1', 'SOC200H1', 'SOC202H1', 'SOC300H1', 'STA220H1', 'PSYB04H3', 'PSYB07H3', 'SOC204H1']",
KPE300H1,Physical Culture and Social Inequality,,"The provision of opportunities for physical activity is profoundly affected by the social structures of Canadian society, and persistent inequalities. An increasing number of Canadian institutions in physical and health education have now committed themselves to policies of social equity. This course enables students to study the effects of class, gender, race, and sexuality upon opportunities, programs and practices, and the means by which social equity might be more effectively pursued.",['KPE200H1'],,['UNI371H1'],
KPE305H1,Geographies of Social and Environmental Justice in Health and Physical Culture,,"The course will examine the importance of space and place in social life. Drawing from health, medical and socio-cultural geographies, architectural, feminist and anti- oppression theories/film/research, as well as in person spatial analysis of local geographies, we will identify and assess how ‘place matters’ to the practice of physical culture, kinesiology, and health. We will examine how experiences of space and place are mediated by systemic oppressions and differences in power relations. To do this, we will explore how social injustices, settler-colonial relations, environmental racism, consumption and the Anthropocence impact physical culture, sport and health, as well as how the practice of sport, physical culture and health have profound implications for the health and ecological geographies of humans, ‘more-than-human’ species, ecosystems, and all life on earth. The course takes a social and environmental justice and anti-oppressive approach towards interrogating local and global disparities in the governance of space and place. We will consider possibilities for enacting democratic, caring and ethical relations in the geographies and environments of health and physical culture.","['KPE100H1', 'KPE200H1']",,,
KPE306H1,Hockey in Canadian Society,,"This course examines the cultural significance of ice hockey in historical and contemporary Canadian society. Topics include the link between hockey and Canadian identity; race in hockey cultures; the commercialism of the sport; hockey-related violence; and the impact of mass and new media on the sport. Students will engage with a wide range of sociocultural research on hockey, and will also be expected to critically engage with contemporary issues relating to the sport at the professional and amateur levels. This course will equip students to critically assess the social and political implications of Canada’s national winter sport and will help develop their writing, presenting, and critical thinking skills.",['KPE220H1'],,,
KPE320H1,Administrative Theory and Organizational Behaviour,,"This course provides a unique blend of administrative theory with organizational behaviour. Technical skills covered include planning, goal setting, management by objectives, organizing tournament draws, budget making and financial management, fund raising, legal liability and decision making. These technical skills are examined with special attention given to the impact of traditional organizational factors such as personality, motivation, leadership, power and politics, and communication. Cutting-edge issues including emotions, trust, work-life balance, stress in the workplace, globalization, diversity and ethical decisions are interwoven throughout the course rather than presented as stand-alone topics. Case studies and problem-based learning exercises are used extensively to provide the student with a conceptual understanding of real-life administration.",['KPE220H1'],,"['MGT262H1', 'MGT363H1', 'PSY332H1', 'IRE260H1']",
KPE321H1,Population Health,,"This course explores patterns of health and illness among groups (populations) of people. Emphasis is on the determinants of health (social political, economic and environmental etc.). Students will learn about basic research methods and issues in the field. Current examples of major local and global health concerns will be used to illustrate key concepts.","['KPE100H1', 'KPE290H1', 'KPE291H1']",,,
KPE322H1,Psychology of Injury and Rehabilitation,,"Psychosocial aspects of physical injury are often overlooked. They are important considerations for understanding the experience of injury and also for enhancing rehabilitation. This course focuses on theory, research, and practical applications related to psychological and psychosocial variables of injury and rehabilitation of athletes and dancers. Prevention, management, performance, and ethical issues relevant to sport/performance psychology, rehabilitation psychology as well as sport/dance science and medicine across a broad spectrum of health care professions are addressed. Empirical work and case studies are used to explore methods and strategies for research, assessment, intervention and best practice across injuries, populations, genres and professions. Students take an active role in the learning process with case-based studies, application of case examples to theoretical frameworks and student engagement activities.","['ANA126Y1', 'KPE120H1', 'KPE260H1', 'KPE290H1', 'KPE291H1']",,,
KPE324H1,Advanced Sport Psychology,,"This course will examine the most effective means by which individual and team athletic performance can be enhanced. The focus will be on integrating scientific research based on cognitive and social psychology with real life case studies. Mental preparation strategies and performance techniques will be taught so that recreational and elite athletes can achieve optimal performance. Topics to be covered throughout the term will include: anxiety, arousal and stress; psychological skills training, motivation, confidence, focus, goal-setting, imagery, team dynamics, burnout and coach-athlete relationships.","['KPE120H1', 'KPE220H1']",,,
KPE325H1,Stress and Coping,,"This course will challenge the student to deal with the interrelationships between stress, health and physical activity. A holistic approach is taken to the integration of these concepts, to allow the student to better understand how stress affects the body, the optimization of health and prevention of stress disorders. Attention will be paid to theories of stress and coping, and selected stress management strategies and techniques will be analyzed, practiced and evaluated. Three lecture hours per week, including some practical, experiential classes.","['KPE120H1', 'KPE264H1']",,['HMB471H1'],
KPE326H1,"Aging, Health and Physical Activity",,"This course will examine the aging process using information from demography to physiology. Recognition of different perspectives of “successful aging” is a theme that runs throughout the course. The effects of physical activity and aging on body function and how aging may change engagement in physical activity will be studied. The course will examine the evidence for physical activity in promoting healthy aging. Approaches to modifying physical activity in light of physiological, pathophysiological, psychological and sociological age-related changes will be discussed in lecture and through use of case studies. The course will emphasize communication about needs and goals for physical activity recommendations, assessments of function, safety precautions and exercise adaptations, including a specific focus on a common condition (e.g. osteoporosis, ostheoarthritis).",['KPE264H1'],,,
KPE327H1,Exercise and Mental Health,,"Mental well-being is a critical element of total health. There is a spectrum of mental states that range from clinically diagnosed psychopathologies such as depression and schizophrenia to total wellness that might be represented by constructs such as high self esteem, subjective well-being, and life satisfaction. This module critically examines the evidence underpinning the role of physical activity in a) the avoidance of mental disorders, b) recovery from mental disorders, and c) the well being and quality of life of those with or without mental disorders. The module will also address the definition and measurement of key psychological constructs that act as markers of psychological well-being. Initiatives to enhance mental health through physical activity will be discussed and implications for health service design and delivery will be identified.","['KPE120H1', 'KPE220H1']",,['HMB473H1'],
KPE328H1,Exercise and Nutrition for Health and Performance,,"This course is designed to provide students with knowledge in nutrition as it applies to exercise, fitness, health and human performance from athletes to the general population and across the life- and healthspan. The course will include nutrition topics related to fuel utilization during exercise, performance and recovery, fluid balance, energy balance and body weight regulation for exercise and performance. Emphasis will be placed on the interactions between exercise and nutrition. Special topics may also be presented.",['KPE264H1'],,['NFS302H1'],
KPE329H1,Developing Physical Literacy Foundations in the Early Years,,"This course is founded on the belief that if we give children the opportunity to engage in developmentally appropriate physical activities, at the appropriate time in their development, then more of them will develop foundational movement skills that will enable them to enjoy being active and to stay active throughout their lives. To this end, the building blocks for the development of physical literacy in children 0-5 years old will be examined in detail, with a focus on the preschool years. The pedagogy of physical activity experiences for this population will be explored through topics such as developmental milestones and needs, foundational movement patterns and motor skill development, teaching and learning approaches and lesson planning. Students will also have the opportunity to explore some Special Topics that are unique to the development of physical literacy foundations in the early years. Note: Students enrolled in KPE329H1 will be required to obtain a valid Police Record Check if directly teaching preschool children. Students will receive an email confirming if a Police Record Check is required upon registration in this course.","['KPE160H1', 'KPE261H1']",,,
KPE332H1,Innovations in Mobile Health,,"Mobile health or mHealth utilizes the capabilities of a mobile device such as a cellphone to provide, disseminate, and measure health interventions and physical activity. mHealth has been used for disease management and prevention, physical activity monitoring and evaluation, monitoring of health status, providing access to health care services in remote areas, and for health and physical activity promotion. This course introduces students to the concepts, definitions, advantages, and limitations of mHealth. This course will be relevant to those who wish to pursue careers as health care providers, physical educators, and those who have a future in research and critical analysis.","['KPE260H1', 'KPE263H1', 'KPE290H1', 'KPE291H1']",,,
KPE333H1,The Pedagogy of Playing Games,,"Historically educators have seen the playing of games as beneficial to the development of physical, psychological, emotional and social traits in children and adults. Recently the dropout rate of children playing organized games and the participation rate of adults playing organized sport has become a major cause for concern. This has brought into focus the traditional way that games and sport have been taught and coached. This course will enhance students’ knowledge and understanding of the concepts and methods of alternative games’ play approaches to teaching and coaching sports. Students will be introduced to the four main alternative games’ models of Teaching Games for Understanding (TGfU), Play Practice, Game Sense and Developing Thinking Players. Each of these 4 models use game centred activities to stimulate and motivate learning. The twin goals of understanding and personal satisfaction are emphasized jointly throughout the course. Students will be engaged in both practical and theory sessions to learn creative, innovative and exciting ways to teach and coach and. You will be able to design and implement learning activities that are enjoyable, challenging, inspiring and cognitively and physically demanding.","['KPE220H1', 'KPE260H1']",,,
KPE334H1,Adapted Physical Activity,,"This course combines theory and practice to introduce students to an integrated, biopsychosocial approach to physical activity participation for persons with varied abilities. Students will be introduced to fundamental principles and theories in the field of adapted physical activity. Students will learn about a broad range of abilities and will be introduced to ways of providing physical activity opportunities for individuals with varied abilities. Students will be given opportunity for active, hands-on learning of different physical activities developed for specific populations through through in-class discussions, tutorials, assignments, and readings.","['ANA126Y1', 'KPE260H1', 'KPE264H1']",,,
KPE335H1,Global Sports Law,,"The course will be an introduction to global sports law. Students will explore how the rules and regulations of the Olympic Movement, the technical side of sport, and the anti-doping movement constitute private transnational legal systems where international sport organizations have regulatory autonomy that is often shielded from intervention by national legal systems. Students will learn how disputes involving these sport rules and regulations are resolved through private arbitration by reviewing key arbitral decisions issued by the Court of Arbitration for Sport and the Sport Dispute Resolution Centre of Canada, and by participating in mock arbitrations of disputes involving doping violations, team selection decisions, and competition outcomes. Finally, students will critically examine how certain sport rules relating to gender verification, out-of-competition doping testing, and doping sanctions impact the rights of athletes, and whether arbitration can provide the necessary oversight and accountability measures to protect those rights.",,,,
KPE340H1,Introduction to Physical Activity Pedagogy,,"This course introduces pedagogical and learning methodologies of working with children and youth in a physical activity setting. It explores concepts such as current levels of physical activity in children and youth; physical literacy and assessment practices; fitness considerations for children and youth and; current best practices for teaching physical activity. Physical activity models of instruction and organization will be explored including: Teaching Games for Understanding (TGfU) and Long-Term Development for Sport and Physical Activity (LTDSPA) as well as lesson planning and student engagement. The Ontario curriculum for physical education at the elementary and secondary levels will also be introduced. In tutorials, students will have an opportunity to experience and apply physical activity pedagogy theory in practice. Course content can be directly applied to improve physical activity instruction across a range of settings including camps, recreational physical activity programming, coaching and future health and physical education teaching.","['KPE220H1', 'KPE260H1']",,,
KPE342H1,Theory of Coaching part I,,"This course will be an introduction to the theory and practice of coaching. Through lectures, practical coaching sessions and in class presentations, students will become familiarized with the fundamentals of coaching and gain an appreciation of the diversity and complexity of the coaching process from an Athlete Centred Coaching perspective. There will be considerable links with KPE333H1 The Pedagogy of Playing Games. Various knowledgeable coaches and experts will talk about their coaching experiences. Students who successfully complete the course will gain their National Coaching Certification Program (NCCP) Introduction to Coaching Part A.","['KPE220H1', 'KPE260H1', 'KPE261H1', 'KPE263H1']",,,
KPE355Y1,Interpersonal Theory in Kinesiology and Physical Education,,"This course will provide students an opportunity to develop their knowledge and competencies in interpersonal theory in Kinesiology and Physical Education. Topics covered in this course include, verbal and non-verbal communication strategies, active listening with patients/clients, reflective practice, managing conflict, decision making, teamwork, and leadership. This course draws upon previous coursework and integrates theory and practice across course learning activities to apply the course content to the breadth of populations and settings within the field of Kinesiology and Physical Education. As a part of the course, students will participate in a field experience (100 hours) with a mentor observing and engaging in interpersonal relations and participating in the planning and implementation of programs as appropriate. Course evaluation activities include weekly class and tutorial sessions, written assignments, presentations, and examinations. Notes: Classroom/tutorial sessions are two hours per week in addition to field experience. Please refer to the 'Fees and Financial Requirements' section of the calendar for information on ancillary fees.",['Complicated'],,['KPE350Y1'],
KPE360H1,Advanced Cardiorespiratory Physiology,,"This course provides students with an opportunity to expand upon topics introduced in earlier physiology courses, particularly KPE264H1, with a particular focus on cardiorespiratory function and control during exercise. Advanced concepts in cardiac performance, respiratory control and the vascular system will be addressed, while considering both acute and chronic responses to exercise. While each subsystem will be examined in detail, a key objective is to guide students toward developing an integrative understanding of exercise physiology. Specific topics will include: systolic and diastolic cardiac function, neural and humoral control of ventilation during exercise, factors influencing gas exchange, local and regional control of skeletal muscle blood flow, and autonomic control of cardiovascular function. Challenges to these systems, including heat and ‘excessive’ exercise, will be explored. Laboratory activities will provide students with an opportunity to integrate conceptual and practical knowledge pertaining to the assessment of cardiorespiratory function and control during exercise. ",['KPE264H1'],,"['BIOC32H3', 'BIOC33H3', 'BIOC34H3', 'BIO210Y5', 'BIO208H5', 'BIO209H5']",
KPE361H1,Motor Control,,"This course is designed to acquaint the student with the principles associated with the voluntary control of limb movements. These principles and theories will provide the student with selected concepts of human movement control and a framework for their application in research, teaching, rehabilitation, and coaching. The objective of the course is to build the student’s understanding of concepts and phenomena associated with sensory, and central nervous system contributions to the execution of goal-directed limb movements.","['KPE261H1', 'Complicated']",,,
KPE362H1,Neural Basis of Human Movement,,"This course examines the neural and cognitive processes that underlie human movement. Specific topics include: neural anatomy; neurophysiology; theories of motor control; movement disorders; and the neural substrates of reflexes, preprogrammed movements, and voluntary movement.","['KPE261H1', 'Complicated']",,,
KPE363H1,Sport Medicine,,"This course builds on knowledge of anatomy and biomechanics of injury acquired in earlier courses to develop a systematic understanding of risk, injury prevention, recognition, initial management, and some information about rehabilitation of injuries occurring in sport and physical activities. It also examines the topic of doping in sport.","['ANA126Y1', 'KPE263H1']",,['HMB470H1'],
KPE366H1,Ergonomics,,"This course examines the elementary concepts of ergonomics. We will explore ergonomics in a variety of practice settings and discuss risk factors contributing to repetitive strain (cumulative trauma) at various ages focusing primarily on the spine and upper extremity and the consequential economic and human burden. We will discuss the stakeholders and measures to enhance ergonomics including adapting the work/activity and the elements of the environment to match the individual’s capacity, to reduce occupational injuries and enhance productivity, comfort, satisfaction and safety. Six hours of practical experience focused on manual material handling and work stations and technology will be embedded in the course.","['KPE263H1', 'KPE264H1']",,,
KPE367H1,Sport & Exercise Biomechanics,,"An appreciation of biomechanics is fundamental to understanding why certain athletes are able to excel, how sport related injuries can be prevented, and how exercise programs should be designed to change movement behaviours. This course will provide students with an opportunity to apply the principles introduced in KPE263H1 to a range of controversial topics from the sport and exercise fields. Case studies and relevant research will be used to explore the application of each concept discussed.","['KPE263H1', 'KPE290H1', 'KPE291H1']",,,
